Species,zone_n,zone_s,zone_g
Acacia_trineura,else,else,else
Acacia_triptera,else,else,else
Acacia_triptycha,NA,else,else
Acacia_tropica,NA,else,else
Acacia_tumida,tropical,else,else
Acacia_tysonii,NA,else,else
Acacia_uncifera,NA,else,else
Acacia_uncifolia,NA,else,else
Acacia_undulifolia,else,else,else
Acacia_verniciflua,else,else,else
Acacia_verricula,NA,else,else
Acacia_verticillata,else,else,else
Acacia_vestita,else,else,else
Acacia_victoriae,else,else,else
Acacia_viscidula,NA,else,else
Acacia_wanyu,NA,else,else
Acacia_wardellii,NA,else,else
Acacia_wattsiana,else,else,else
Acacia_xanthina,NA,else,else
Acacia_xiphophylla,NA,else,else
Acacia_yorkrakinensis,NA,else,else
Acaciella_angustissima,else,else,else
Acaciella_glauca,else,else,else
Acaciella_goldmanii,else,NA,else
Acaciella_rosei,else,NA,else
Acaciella_villosa,else,tropical,else
Acalypha_angatensis,else,NA,else
Acalypha_apodanthes,else,NA,else
Acalypha_benensis,NA,tropical,tropical
Acalypha_cardiophylla,else,tropical,else
Acalypha_caturus,tropical,tropical,tropical
Acalypha_chirindica,NA,tropical,tropical
Acalypha_cuneata,tropical,tropical,tropical
Acalypha_diversifolia,tropical,tropical,tropical
Acalypha_fasciculata,NA,else,else
Acalypha_forsteriana,else,else,else
Acalypha_fruticosa,tropical,tropical,tropical
Acalypha_glabrata,NA,else,else
Acalypha_grandis,else,tropical,tropical
Acalypha_hellwigii,NA,tropical,tropical
Acalypha_longispica,NA,tropical,tropical
Acalypha_macrostachya,tropical,tropical,tropical
Acalypha_muelleriana,tropical,NA,tropical
Acalypha_neptunica,tropical,tropical,tropical
Acalypha_ornata,tropical,tropical,tropical
Acalypha_padifolia,tropical,tropical,tropical
Acalypha_peruviana,tropical,else,else
Acalypha_platyphylla,tropical,tropical,tropical
Acalypha_pubiflora,NA,else,else
Acalypha_repanda,NA,else,else
Acalypha_schiedeana,else,tropical,else
Acalypha_skutchii,else,NA,else
Acalypha_sonderiana,NA,else,else
Acalypha_stachyura,tropical,tropical,tropical
Acalypha_stenoloba,tropical,else,else
Acalypha_stricta,tropical,else,else
Acalypha_tenuifolia,else,NA,else
Acalypha_villosa,else,else,tropical
Acalypha_wilkesiana,else,else,else
Acanthella_sprucei,tropical,tropical,tropical
Acanthocladus_dichromus,NA,else,else
Acanthocladus_pulcherrimus,NA,else,else
Acanthocladus_scleroxylon,NA,else,else
Acanthosyris_annonagustata,tropical,tropical,tropical
Acanthosyris_falcata,NA,else,else
Acanthosyris_glabrata,else,tropical,tropical
Acanthosyris_spinescens,NA,else,else
Acca_macrostema,NA,else,else
Acca_sellowiana,else,else,else
Acer_acuminatum,else,NA,else
Acer_albopurpurascens,else,NA,else
Acer_amplum,else,NA,else
Acer_argutum,else,NA,else
Acer_barbinerve,else,NA,else
Acer_buergerianum,else,else,else
Acer_caesium,else,NA,else
Acer_campbellii,else,else,else
Acer_campestre,else,else,else
Acer_capillipes,else,else,else
Acer_cappadocicum,else,else,else
Acer_carpinifolium,else,else,else
Acer_caudatum,else,NA,else
Acer_circinatum,else,else,else
Acer_cissifolium,else,else,else
Acer_cordatum,else,NA,else
Acer_coriaceifolium,else,else,else
Acer_crataegifolium,else,NA,else
Acer_davidii,else,else,else
Acer_diabolicum,else,else,else
Acer_distylum,else,NA,else
Acer_duplicatoserratum,else,NA,else
Acer_erianthum,else,NA,else
Acer_fabri,else,else,else
Acer_floridanum,else,NA,else
Acer_forrestii,else,else,else
Acer_glabrum,else,NA,else
Acer_granatense,else,NA,else
Acer_grandidentatum,else,NA,else
Acer_griseum,else,else,else
Acer_heldreichii,else,else,else
Acer_henryi,else,else,else
Acer_hyrcanum,else,NA,else
Acer_japonicum,else,else,else
Acer_komarovii,else,NA,else
Acer_laevigatum,else,else,else
Acer_laurinum,else,tropical,tropical
Acer_leucoderme,else,else,else
